session	FL_training	local_training
1	0.803900003433228	0.837100028991699
2	0.839800000190735	0.853500008583069
3	0.851400017738342	0.868300020694733
4	0.867500007152557	0.87830001115799
5	0.872399985790253	0.877699971199036
6	0.875999987125397	0.878899991512299
7	0.875	0.881500005722046
8	0.872900009155273	0.88510000705719
9	0.881699979305267	0.885699987411499
10	0.877799987792969	0.885999977588654
11	0.888000011444092	0.886300027370453
12	0.888800024986267	0.888300001621246
13	0.889599978923798	0.880999982357025
14	0.889400005340576	0.888400018215179
15	0.889299988746643	0.892899990081787
16	0.890100002288818	0.893700003623962
17	0.89410001039505	0.891700029373169
18	0.893499970436096	0.887600004673004
19	0.89410001039505	0.889100015163422
20	0.893499970436096	0.890900015830994
