session	set1	set2	local_training
1	0.837999999523163	0.841300010681152	0.874599993228912
2	0.86379998922348	0.868799984455109	0.901000022888184
3	0.888700008392334	0.883000016212463	0.903299987316132
4	0.893999993801117	0.895699977874756	0.89139997959137
5	0.90039998292923	0.900600016117096	0.914499998092651
6	0.904900014400482	0.896899998188019	0.917699992656708
7	0.904900014400482	0.898899972438812	0.921999990940094
8	0.911400020122528	0.911199986934662	0.920000016689301
9	0.91729998588562	0.908399999141693	0.918500006198883
10	0.914600014686585	0.916599988937378	0.91509997844696
11	0.919700026512146	0.917999982833862	0.913500010967255
12	0.921999990940094	0.915300011634827	0.918500006198883
13	0.923600018024445	0.918900012969971	0.919399976730347
14	0.920499980449677	0.921199977397919	0.92059999704361
15	0.920300006866455	0.921999990940094	0.915799975395203
16	0.920400023460388	0.923799991607666	0.914399981498718
17	0.922299981117249	0.92330002784729	0.920799970626831
18	0.925100028514862	0.924300014972687	0.920899987220764
19	0.925400018692017	0.922699987888336	0.921999990940094
20	0.927900016307831	0.924099981784821	0.92519998550415
