batch_size latency_min latency_max
1 95.563 108.514
2 52.495 54.647
3 36.403 37.371
4 27.778 28.177
5 22.253 22.873
6 18.639 18.970
8 14.106 14.963
10 11.466 12.628
12 9.659 11.291
15 7.920 8.598
16 7.440 8.008
20 6.102 6.564
24 5.366 5.989
25 5.109 5.828
30 4.289 5.732
32 3.73 5.548
40 3.441 5.828
48 3.075 5.849
50 2.928 5.545
60 2.994 5.106
75 2.355 5.239
80 2.233 5.331
96 2.038 5.167
100 2.033 4.826
120 1.960 5.034
125 1.934 5.124
150 1.810 4.714
160 1.775 4.241
200 1.671 3.775
240 1.574 4.365
250 1.543 3.872
300 1.517 4.345
375 1.483 5.429
400 1.473 4.970
480 1.410 4.55
500 1.416 4.893
600 1.390 5.224
625 1.364 4.488
750 1.325 5.073
800 1.396 5.042
1000 1.284 3.7712
1200 1.251 4.622
1250 1.247 4.651
1500 1.242 4.506
1875 1.208 4.877
2000 1.196 4.340
2400 1.198 4.792
2500 1.203 4.527
3000 1.179 4.653
3750 1.185 5.430
4000 1.147 6.18
5000 1.154 5.757
6000 1.147 6.077
7500 1.150 8.029
10000 1.174 7.460
12000 1.148 7.845
15000 1.142 7.003
20000 1.197 6.230
30000 1.260 7.514
